system:time_start,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,QA60
"Sep 18, 2020","1,302",202,160,"1,102","1,034",910,784,475,468,423,432,0
"Sep 23, 2020","1,386",283,191,"1,159","1,099",994,867,603,617,496,515,0
"Sep 28, 2020","1,312",253,211,"1,115","1,137","1,116",963,581,629,513,479,0
"Oct 3, 2020","8,066","5,005","3,224","8,050","7,858","8,394","7,907","8,077","8,698","7,895","8,890","1,024"
"Oct 8, 2020","1,501",421,284,"1,270","1,192","1,088",950,799,831,722,715,0
"Oct 13, 2020","1,671",507,332,"1,405","1,294","1,140","1,061",959,"1,003",857,904,0
"Oct 18, 2020","1,471",593,437,"1,295","1,251","1,151","1,007",857,975,781,843,0
"Oct 23, 2020","1,416",465,328,"1,189","1,142",986,850,660,762,570,653,0
"Nov 2, 2020","1,337",461,384,"1,195","1,187","1,000",910,647,712,609,632,0
"Nov 7, 2020","1,559",729,573,"1,382","1,338","1,204","1,112","1,009","1,057",972,"1,038",0
"Nov 12, 2020","1,249",209,139,"1,020",994,791,677,424,483,382,359,0
"Nov 17, 2020","1,580",790,637,"1,490","1,545","1,473","1,275","1,031","1,103",999,990,0
"Nov 22, 2020","1,575",814,650,"1,528","1,615","1,633","1,413","1,119","1,166","1,033","1,103",0
"Nov 27, 2020","1,760",650,474,"1,686","1,687","1,685","1,482","1,153","1,245","1,064","1,046",0
"Dec 2, 2020","1,557",646,444,"1,437","1,467","1,446","1,384","1,160","1,257",980,"1,067",0
"Dec 7, 2020","1,512",873,694,"1,602","1,617","1,718","1,505","1,246","1,311","1,238","1,187",0
"Dec 12, 2020","5,083","1,631","1,595","4,769","4,551","4,606","4,718","4,978","5,196","5,025","5,278","1,024"
"Dec 17, 2020","1,214",233,157,"1,002","1,015","1,096","1,025",714,793,609,598,0
"Dec 22, 2020","1,558",954,785,"1,590","1,632","1,825","1,727","1,451","1,563","1,399","1,405",0
"Dec 27, 2020","1,349",644,479,"1,317","1,251","1,315","1,188","1,023","1,100",988,995,0
"Jan 1, 2021","1,292",560,415,"1,157","1,103","1,158","1,070",886,910,832,802,0
"Jan 6, 2021","1,271",335,189,991,898,880,812,627,680,554,563,0
"Jan 11, 2021","1,411",530,400,"1,361","1,507","1,900","1,827","1,497","1,739","1,373","1,390",0
"Jan 16, 2021","3,565","1,669","1,384","3,316","3,113","3,122","3,204","3,724","4,103","3,799","4,178","1,024"
"Jan 21, 2021","1,631",327,201,"1,507","1,621","1,999","1,937","1,909","2,168","1,815","1,901",0
"Jan 26, 2021","8,921","2,059","2,302","8,660","8,243","8,541","8,526","8,641","8,818","8,386","8,729","1,024"
"Jan 31, 2021","3,956","4,077","2,889","3,851","3,718","3,849","3,741","4,337","4,936","4,374","5,140","1,024"
"Feb 5, 2021","1,362",194,126,"1,240","1,409","1,858","1,887","1,704","1,864","1,583","1,566",0
"Feb 10, 2021","4,568","4,470","3,546","4,515","4,431","4,559","4,752","5,184","5,485","5,123","5,619","1,024"
"Feb 15, 2021","1,337",212,176,"1,162","1,281","1,624","1,636","1,390","1,530","1,274","1,220",0
"Feb 20, 2021","2,291","1,907","1,356","1,685","1,646","1,842","2,056","2,591","2,880","2,246","2,935","2,048"
"Feb 25, 2021","1,409",265,185,"1,280","1,453","1,900","1,890","1,765","1,989","1,659","1,669",0
"Mar 2, 2021","1,488",358,222,"1,377","1,533","1,967","1,919","1,844","2,103","1,783","1,863",0
"Mar 7, 2021","1,355",212,122,"1,237","1,402","1,886","1,938","1,795","1,954","1,698","1,703",0
"Mar 12, 2021","1,512",499,332,"1,387","1,528","1,974","2,003","1,995","2,202","1,948","1,983",0
"Mar 17, 2021","4,681","2,506","1,972","4,438","4,108","4,243","4,208","4,475","4,709","4,389","4,804","1,024"
"Mar 22, 2021","2,781","2,728","1,910","2,763","2,602","2,620","2,672","3,116","3,483","3,277","3,585",0
"Mar 27, 2021","9,561","2,513","2,852","9,522","8,992","9,281","9,354","9,394","9,511","9,434","9,337","1,024"
"Apr 1, 2021","1,350",221,144,"1,233","1,395","1,861","1,860","1,673","1,830","1,552","1,527",0
